Date,Total Water Intake (ml),Glasses of Water,Water Source,Hydration Level
1/1/2024,2500,10,Tap Water,Excellent
1/2/2024,2200,8,Filtered Water,Good
1/3/2024,1800,7,Bottled Water,Average
1/4/2024,2600,11,Tap Water,Excellent
1/5/2024,2000,8,Filtered Water,Good
1/6/2024,1900,7,Bottled Water,Average
1/7/2024,2400,9,Tap Water,Very Good
1/8/2024,2300,9,Filtered Water,Good
1/9/2024,2100,8,Bottled Water,Good
1/10/2024,2700,12,Tap Water,Excellent
1/11/2024,1900,7,Filtered Water,Average
1/12/2024,2500,10,Bottled Water,Excellent
1/13/2024,2200,8,Tap Water,Good
1/14/2024,2000,8,Filtered Water,Good
1/15/2024,2600,11,Bottled Water,Excellent
1/16/2024,2300,9,Tap Water,Good
1/17/2024,1950,8,Filtered Water,Average
1/18/2024,2450,10,Bottled Water,Very Good
1/19/2024,2150,9,Tap Water,Good
1/20/2024,2750,13,Filtered Water,Excellent
1/21/2024,2050,8,Bottled Water,Good
1/22/2024,2400,10,Tap Water,Good
1/23/2024,2250,9,Filtered Water,Good
1/24/2024,2100,8,Bottled Water,Good
1/25/2024,2600,11,Tap Water,Excellent
1/26/2024,2000,8,Filtered Water,Average
1/27/2024,2500,10,Bottled Water,Excellent
1/28/2024,2200,9,Tap Water,Good
1/29/2024,2050,8,Filtered Water,Good
1/30/2024,2650,12,Bottled Water,Excellent
1/31/2024,2150,9,Tap Water,Good
