Food Name,Serving Size,Calories
Spinach Salad,180,120
Fruit Smoothie,200,150
Grilled Vegetables,210,180
Cucumber Salad,150,100
Vegetable Soup,250,190
Grilled Chicken Breast,250,370
Paneer Tikka,220,320
Chicken Salad,200,310
Tuna Sandwich,240,350
Egg Whites,180,300
Sambar with Rice,300,280
Vegetable Stir Fry,250,260
Lentil Soup,200,230
Quinoa Bowl,220,240
Oats Porridge,250,200
Chocolate Cake,200,500
Pasta,300,540
French Fries,250,450
Garlic Bread,200,420
Rice Bowl,280,400
Spinach Soup,200,140
Mixed Green Salad,180,120
Vegetable Broth,250,150
Cabbage Stir Fry,200,170
Carrot Raita,220,130
Grilled Salmon,240,350
Boiled Eggs,150,300
Paneer Bhurji,200,320
Chicken Skewers,250,340
Turkey Wrap,230,330
Chickpea Salad,200,230
Brown Rice & Vegetables,250,260
Pumpkin Curry,240,250
Sweet Potato Mash,200,200
Lentil Dal,250,220
Banana Pancakes,200,480
Vegetable Pasta,300,510
Cheesy Nachos,250,540
Mashed Potatoes,240,450
Chocolate Muffin,220,500
Cucumber & Tomato Salad,200,130
Roasted Vegetables,220,150
Clear Soup,250,140
Beetroot Salad,200,160
Zucchini Noodles,200,120
Grilled Tuna Steak,250,360
Egg Curry,240,320
Chicken Meatballs,200,330
Paneer Wrap,230,310
Shrimp Stir Fry,220,340
Quinoa & Spinach,250,260
Sprout Salad,200,220
Whole Wheat Khichdi,250,240
Vegetable Stuffed Paratha,230,250
Oatmeal Bowl,200,200
Veggie Pizza,250,490
Butter Chicken Curry,250,540
Rice & Dal,250,460
Vegetable Fried Rice,300,530
Creamy Pasta,250,500
Tomato Cucumber Salad,200,120
Steamed Broccoli,150,100
Veggie Bowl,230,150
Carrot Soup,250,140
Roasted Cauliflower,200,130
Tofu Stir Fry,240,320
Chicken Kebabs,250,350
Boiled Chicken Breast,220,300
Paneer Tikka Masala,250,340
Grilled Mutton,230,360
Lentil Khichdi,240,240
Whole Wheat Upma,200,210
Vegetable Stew,250,250
Spinach Dal,230,230
Mixed Sprouts Curry,250,260
Veggie Burger,300,540
