Food Name,Serving Size,Calories,Time of Day,User Preferences
Spinach Salad,180,120,Lunch,Low Calorie
Fruit Smoothie,200,150,Snack,Low Calorie
Grilled Vegetables,210,180,Dinner,Low Calorie
Cucumber Salad,150,100,Lunch,Low Calorie
Vegetable Soup,250,190,Dinner,Low Calorie
Grilled Chicken Breast,250,370,Lunch,High Protein
Paneer Tikka,220,320,Dinner,High Protein
Chicken Salad,200,310,Lunch,High Protein
Tuna Sandwich,240,350,Snack,High Protein
Egg Whites,180,300,Breakfast,High Protein
Sambar with Rice,300,280,Lunch,High Fiber
Vegetable Stir Fry,250,260,Dinner,High Fiber
Lentil Soup,200,230,Lunch,High Fiber
Quinoa Bowl,220,240,Dinner,High Fiber
Oats Porridge,250,200,Breakfast,High Fiber
Chocolate Cake,200,500,Snack,Carb Rich
Pasta,300,540,Dinner,Carb Rich
French Fries,250,450,Snack,Carb Rich
Garlic Bread,200,420,Snack,Carb Rich
Rice Bowl,280,400,Lunch,Carb Rich
Spinach Soup,200,140,Lunch,Low Calorie
Mixed Green Salad,180,120,Lunch,Low Calorie
Vegetable Broth,250,150,Dinner,Low Calorie
Cabbage Stir Fry,200,170,Lunch,Low Calorie
Carrot Raita,220,130,Lunch,Low Calorie
Grilled Salmon,240,350,Dinner,High Protein
Boiled Eggs,150,300,Breakfast,High Protein
Paneer Bhurji,200,320,Lunch,High Protein
Chicken Skewers,250,340,Dinner,High Protein
Turkey Wrap,230,330,Snack,High Protein
Chickpea Salad,200,230,Lunch,High Fiber
Brown Rice & Vegetables,250,260,Dinner,High Fiber
Pumpkin Curry,240,250,Lunch,High Fiber
Sweet Potato Mash,200,200,Lunch,High Fiber
Lentil Dal,250,220,Lunch,High Fiber
Banana Pancakes,200,480,Breakfast,Carb Rich
Vegetable Pasta,300,510,Dinner,Carb Rich
Cheesy Nachos,250,540,Snack,Carb Rich
Mashed Potatoes,240,450,Lunch,Carb Rich
Chocolate Muffin,220,500,Snack,Carb Rich
Cucumber & Tomato Salad,200,130,Lunch,Low Calorie
Roasted Vegetables,220,150,Dinner,Low Calorie
Clear Soup,250,140,Dinner,Low Calorie
Beetroot Salad,200,160,Lunch,Low Calorie
Zucchini Noodles,200,120,Dinner,Low Calorie
Grilled Tuna Steak,250,360,Lunch,High Protein
Egg Curry,240,320,Dinner,High Protein
Chicken Meatballs,200,330,Lunch,High Protein
Paneer Wrap,230,310,Lunch,High Protein
Shrimp Stir Fry,220,340,Dinner,High Protein
Quinoa & Spinach,250,260,Lunch,High Fiber
Sprout Salad,200,220,Lunch,High Fiber
Whole Wheat Khichdi,250,240,Lunch,High Fiber
