Food Name,Serving Size,Calories,Time of Day,User Preferences
Salad,1 cup (200g),150,Lunch,Low Calorie
Chicken Breast,1 piece (150g),300,Lunch,High Protein
Fruit Smoothie,1 glass (250ml),180,Snack,Low Calorie
Grilled Fish,1 fillet (200g),250,Dinner,High Protein
Pasta,1 plate (300g),400,Dinner,Carb Rich
Steak,1 steak (250g),500,Dinner,High Protein
Vegetable Soup,1 bowl (300ml),200,Lunch,Vegetarian
Sushi,8 pieces (200g),350,Lunch,High Protein
Yogurt,1 cup (200g),100,Breakfast,Low Calorie
Oatmeal,1 bowl (150g),150,Breakfast,Low Calorie
Paneer Butter Masala,1 bowl (250g),300,Dinner,Vegetarian
Ice Cream,1 cup (200g),250,Snack,Carb Rich
Quinoa Bowl,1 bowl (250g),300,Lunch,High Protein
Avocado Smoothie,1 glass (300ml),250,Snack,Vegetarian
Tuna Sandwich,1 sandwich (200g),400,Lunch,High Protein
Baked Potato,1 large (300g),200,Dinner,Vegetarian
Apple,1 piece (150g),80,Snack,Low Calorie
Roasted Vegetables,1 plate (250g),180,Lunch,Vegetarian
Chocolate,1 bar (50g),550,Snack,Carb Rich
Milkshake,1 glass (300ml),400,Snack,Carb Rich
Brown Rice,1 cup (200g),180,Lunch,Low Calorie
Hummus & Pita Bread,1 plate (250g),350,Snack,Vegetarian
Grilled Shrimp,1 plate (200g),250,Dinner,High Protein
Caesar Salad,1 bowl (300g),200,Lunch,Low Calorie
Chicken Noodles,1 bowl (350g),400,Dinner,High Protein
Mushroom Risotto,1 bowl (300g),350,Dinner,Vegetarian
Veggie Stir Fry,1 plate (300g),200,Lunch,Vegetarian
Spaghetti Carbonara,1 plate (350g),600,Dinner,Carb Rich
Protein Shake,1 glass (300ml),300,Snack,High Protein
Falafel Wrap,1 wrap (200g),350,Lunch,Vegetarian
Nachos,1 plate (200g),400,Snack,Carb Rich
Egg & Avocado Toast,2 slices (200g),250,Breakfast,High Protein
Turkey Breast Sandwich,1 sandwich (250g),400,Lunch,High Protein
Cheese Pizza,2 slices (200g),600,Dinner,Carb Rich
Lentil Soup,1 bowl (250g),180,Lunch,Vegetarian
Stir-Fried Chicken,1 plate (300g),350,Dinner,High Protein
Granola Bar,1 bar (50g),200,Snack,Low Calorie
Tofu Salad,1 plate (250g),200,Lunch,Vegetarian
Pancakes & Honey,3 pancakes (250g),350,Breakfast,Carb Rich
Mango Lassi,1 glass (300ml),250,Snack,Low Calorie
Mashed Potatoes,1 plate (300g),400,Dinner,Vegetarian
Fruit Salad,1 bowl (300g),180,Snack,Low Calorie
Roast Chicken,1 plate (300g),500,Dinner,High Protein
Spinach Soup,1 bowl (250g),150,Lunch,Low Calorie
Beef Steak,1 steak (250g),500,Dinner,High Protein
Chicken Curry,1 bowl (300g),400,Dinner,High Protein
Mango Smoothie,1 glass (300ml),200,Snack,Low Calorie
Almond Milk,1 cup (250ml),100,Breakfast,Low Calorie
Vegetable Pasta,1 plate (350g),350,Dinner,Vegetarian
Grilled Tofu,1 plate (300g),300,Lunch,High Protein
Fruit Yogurt,1 bowl (200g),180,Breakfast,Low Calorie
Scrambled Eggs,2 eggs (150g),200,Breakfast,High Protein
Coconut Water,1 glass (250ml),50,Snack,Low Calorie
Veggie Omelette,1 plate (250g),250,Breakfast,Vegetarian
Lamb Chops,1 plate (300g),600,Dinner,High Protein
Grilled Paneer,1 plate (300g),400,Lunch,Vegetarian
Peanut Butter Sandwich,1 sandwich (200g),300,Breakfast,Vegetarian
Turkey Wrap,1 wrap (200g),400,Lunch,High Protein
Roast Duck,1 plate (300g),550,Dinner,High Protein
Baked Salmon,1 fillet (250g),450,Dinner,High Protein
Green Salad,1 plate (200g),150,Lunch,Low Calorie
Banana Pancakes,3 pancakes (250g),350,Breakfast,Carb Rich
Honey Lemon Tea,1 cup (250ml),30,Snack,Low Calorie
Broccoli Soup,1 bowl (300g),150,Lunch,Low Calorie
Shrimp Skewers,6 skewers (200g),300,Dinner,High Protein
Vegetable Spring Rolls,1 plate (250g),250,Snack,Vegetarian
Tofu Stir Fry,1 plate (300g),200,Lunch,Vegetarian
Apple Pie,1 slice (200g),500,Snack,Carb Rich
Fried Chicken,1 plate (300g),600,Dinner,High Protein
Cauliflower Rice,1 bowl (200g),180,Lunch,Low Calorie
Pineapple Juice,1 glass (300ml),150,Snack,Low Calorie
Egg Fried Rice,1 bowl (300g),400,Lunch,High Protein
Vegetable Kebab,1 plate (250g),250,Snack,Vegetarian
Pumpkin Soup,1 bowl (250g),150,Lunch,Low Calorie
Cranberry Juice,1 glass (250ml),200,Snack,Low Calorie
Chocolate Mousse,1 bowl (200g),400,Snack,Carb Rich
Berry Parfait,1 glass (300ml),300,Snack,Low Calorie
Chicken Burger,1 burger (250g),550,Dinner,Carb Rich
Stuffed Bell Peppers,1 plate (250g),300,Lunch,Vegetarian
Lentil Curry,1 bowl (300g),350,Dinner,Vegetarian
Avocado Salad,1 bowl (200g),180,Lunch,Vegetarian
Grilled Lamb,1 plate (300g),500,Dinner,High Protein
Sweet Potato Fries,1 plate (200g),220,Snack,Vegetarian
Beetroot Salad,1 plate (250g),180,Lunch,Low Calorie
Quinoa Salad,1 bowl (250g),300,Lunch,Vegetarian
Zucchini Noodles,1 plate (200g),250,Lunch,Vegetarian
Pasta Primavera,1 plate (350g),450,Dinner,Vegetarian
Seafood Paella,1 plate (300g),600,Dinner,High
